Well_ID,TH_2022,NO3_2022,Cl_2022,F_2022,SO4_2022,Ca_2022,Mg_2022,Na_2022
1.94436E+14,275,44.6,49.6,0.65,37.1,48.1,37.7,36.4
1.9463E+14,140,3.9,14.2,0.7,9.7,28.1,17,14
1.93632E+14,310,68.5,95.7,0.69,37.1,72.1,31.6,60.3
2.01317E+14,440,5.1,244.6,0.7,40.8,64.1,68,56.4
2.0124E+14,715,70.7,351,0.82,54.7,54.1,140.9,81
2.02434E+14,220,77.5,244.6,2.38,94,30.1,35.2,365.6
2.0175E+14,210,11.9,120.5,1.44,279.4,12,43.7,300.1
2.01532E+14,350,6.3,99.3,4.68,40,28.1,68,94.4
2.01845E+14,390,80.3,294.2,0.81,45.3,8,89.9,310.7
2.01613E+14,260,76.2,95.7,1.22,29.1,30.1,45,26.3
2.057E+14,270,42.8,31.9,0.64,16.9,66.1,25.5,20.3
2.051E+14,720,35,467.9,0.53,249.7,164.3,75.3,172.3
2.113E+14,968,28.9,560.1,0.62,73.7,188.4,121,206.6
2.116E+14,345,54.1,67.4,0.66,24.1,40.1,59.5,61.7
2.053E+14,550,74.8,358,1.02,120.7,84.2,82.6,300.5
2.111E+14,725,64.8,358,0.61,141.9,160.3,79,153.5
2.0582E+14,275,61.4,63.8,0.99,36.9,56.1,32.8,77.4
2.11445E+14,655,80.2,333.2,0.51,159.6,116.2,88.7,182.3
2.0493E+14,460,13,212.7,0.6,134.8,72.1,68,111.9
2.0493E+14,235,10.3,31.9,0.77,12.4,42.1,31.6,33.4
2.1313E+14,665,10,251.7,0.67,68.3,90.2,106.9,147.2
2.057E+14,135,20.2,21.3,0.43,5.9,38.1,9.7,15.4
2.04342E+14,420,70,202.1,0.76,147.6,72.1,58.3,271.1
2.05415E+14,170,70.5,234,1.16,64.3,30.1,23.1,327
2.04915E+14,200,13.8,31.9,0.43,13.8,56.1,14.6,19.9
2.059E+14,475,73.7,223.3,1.15,79.8,64.1,76.5,189.5
2.11925E+14,340,69.6,265.9,0.84,74.8,50.1,52.2,301
2.0561E+14,745,62.5,450.2,0.75,157.8,80.2,132.4,228.3
2.12526E+14,355,56.9,124.1,0.61,64.9,92.2,30.4,94.1
2.10923E+14,345,65.5,134.7,0.7,57.2,56.1,49.8,99.1
2.10846E+14,205,25.2,60.3,0.74,34,40.1,25.5,51.1
2.106E+14,220,28.6,31.9,0.93,27.8,56.1,19.4,37.9
2.04305E+14,550,69.5,195,1.05,88.2,78.2,86.3,137.9
2.05324E+14,915,68.6,638.1,0.65,86.9,52.1,190.8,178.4
2.11746E+14,335,45.2,113.4,0.75,43.9,58.1,46.2,46.9
2.05427E+14,250,57.1,163.1,1.41,60,40.1,36.5,316.1
2.12738E+14,345,62,88.6,1.05,51.4,58.1,48.6,48.8
2.05525E+14,425,64.7,156,0.75,63.4,66.1,63.2,98.6
2.12016E+14,1030,84.1,592,0.97,452.8,124.2,175,350.9
2.05657E+14,250,27.2,81.5,0.78,35.2,40.1,36.5,120.3
2.10225E+14,635,80.3,354.5,0.62,161.4,88.2,100.8,193.4
1.936E+14,650,132.5,276.5,1.77,250.1,68.1,116.6,230.5
1.857E+14,495,95.6,184.3,1.02,130.8,146.3,31.6,78
1.91E+14,395,40.3,39,1.49,34.6,46.1,68,64.4
1.93E+14,625,122.7,202.1,0.62,96.1,160.3,54.7,94.7
1.956E+14,290,27.5,67.4,1.29,50.3,46.1,42.5,17.8
2.0123E+14,340,120.4,191.4,0.98,57.5,108.2,17,99.1
2.011E+14,255,21.1,120.5,0.6,52.6,86.2,9.7,39.5
